#Sample: SEC-SAXS
#q	I	Err_I	Err_q
  1.550150e-01   8.506386e-03   1.954833e-03   9.293860e-03
  1.591900e-01   7.905818e-03   1.933740e-03   9.396150e-03
  1.633690e-01   8.546479e-03   1.904154e-03   9.519300e-03
  1.675260e-01   5.625199e-03   1.890182e-03   9.673070e-03
  1.717390e-01   7.642595e-03   1.925031e-03   9.837870e-03
  1.759550e-01   4.807543e-03   1.918293e-03   9.971490e-03
  1.801990e-01   6.925870e-03   1.918968e-03   1.012110e-02
  1.844380e-01   4.866352e-03   1.915965e-03   1.025810e-02
  1.886290e-01   8.433092e-03   1.936662e-03   1.039030e-02
  1.927980e-01   4.274901e-03   1.914523e-03   1.051900e-02
  1.970000e-01   6.515646e-03   1.900222e-03   1.065910e-02
  2.011750e-01   6.067837e-03   1.915427e-03   1.078550e-02
  2.053570e-01   4.965079e-03   1.883048e-03   1.091700e-02
  2.095610e-01   9.731997e-03   1.893466e-03   1.105270e-02
  2.137320e-01   5.817397e-03   1.882960e-03   1.118250e-02
  2.179100e-01   5.122965e-03   1.867084e-03   1.131230e-02
  2.221150e-01   6.661229e-03   1.851889e-03   1.145100e-02
  2.263240e-01   6.588241e-03   1.849659e-03   1.158000e-02
  2.305130e-01   4.568947e-03   1.843385e-03   1.171810e-02
  2.347010e-01   8.304263e-03   1.829528e-03   1.185150e-02
  2.388900e-01   3.024118e-03   1.823920e-03   1.199140e-02
  2.430630e-01   7.297593e-03   1.823153e-03   1.211930e-02
  2.472260e-01   9.197415e-03   1.850326e-03   1.226530e-02
  2.514270e-01   3.019603e-03   1.899180e-03   1.240790e-02
  2.555440e-01   7.336377e-03   1.964224e-03   1.254280e-02
  2.597510e-01   5.613136e-03   2.036297e-03   1.269020e-02
  2.639560e-01   1.018622e-02   2.126059e-03   1.282150e-02
  2.681120e-01   6.999839e-03   2.185752e-03   1.295180e-02
  2.723100e-01   6.844309e-03   2.208022e-03   1.306060e-02
  2.765820e-01   5.660973e-03   2.255727e-03   1.320060e-02
  2.808190e-01   1.035108e-02   2.338780e-03   1.331980e-02
  2.850120e-01   9.233319e-03   2.396793e-03   1.344020e-02
  2.891770e-01   9.887701e-03   2.453283e-03   1.356590e-02
  2.933480e-01   9.329058e-03   2.501294e-03   1.368210e-02
  2.975300e-01   1.083587e-02   2.533957e-03   1.380480e-02
  3.017160e-01   6.097700e-03   2.550041e-03   1.392730e-02
  3.058830e-01   3.935550e-03   2.565137e-03   1.406190e-02
  3.100660e-01   6.831810e-03   2.565042e-03   1.420410e-02
  3.142370e-01   8.575251e-03   2.605505e-03   1.433920e-02
  3.183530e-01   8.670750e-03   2.622411e-03   1.447440e-02
  3.226010e-01   5.610540e-03   2.536209e-03   1.459990e-02
  3.269060e-01   3.056293e-03   2.577901e-03   1.475600e-02
  3.311150e-01   8.463566e-03   2.619647e-03   1.490010e-02
  3.352770e-01   8.993502e-03   2.634837e-03   1.504080e-02
  3.394580e-01   5.060928e-03   2.608824e-03   1.518980e-02
  3.436500e-01   8.398889e-03   2.641998e-03   1.533930e-02
  3.477920e-01   6.276287e-03   2.660781e-03   1.548190e-02
  3.519030e-01   5.978926e-03   2.672770e-03   1.562520e-02
  3.560370e-01   5.811529e-03   2.658433e-03   1.577480e-02
  3.603490e-01   5.613005e-03   2.960976e-03   1.599690e-02
  3.645530e-01   2.067336e-03   3.195347e-03   1.617830e-02
  3.687300e-01   4.391102e-03   3.364871e-03   1.636000e-02
  3.729410e-01   2.234878e-04   3.542657e-03   1.653340e-02
  3.771550e-01   1.004890e-02   3.794377e-03   1.670710e-02
  3.813100e-01   1.661889e-03   4.033813e-03   1.687360e-02
  3.854520e-01   1.290553e-02   4.297684e-03   1.704440e-02
  3.896430e-01   1.468945e-05   4.521223e-03   1.720860e-02
  3.938510e-01   5.569770e-03   4.918507e-03   1.737810e-02
  3.980690e-01   1.151211e-02   5.308870e-03   1.754850e-02
  4.023040e-01   9.909973e-03   5.944373e-03   1.771310e-02
  4.063540e-01   -8.323222e-03   6.707496e-03   1.787410e-02
  4.104430e-01   7.952935e-03   7.499684e-03   1.803650e-02
  4.147120e-01   3.834532e-03   9.066565e-03   1.820580e-02
  4.187250e-01   3.678216e-03   1.360749e-02   1.836550e-02
  4.225340e-01   2.570266e-02   2.246794e-02   1.852030e-02
