q	I	Err_I
0.003638   0.041828   0.011425
0.003913   0.046675   0.009828
0.004188   0.031978   0.008164
0.004464   0.041606   0.007090
0.004739   0.036098   0.006057
0.005014   0.029436   0.005485
0.005289   0.028029   0.004746
0.005565   0.035536   0.004349
0.005840   0.025901   0.003757
0.006115   0.028672   0.003325
0.006528   0.024048   0.002045
0.007078   0.020897   0.001676
0.007629   0.025519   0.001428
0.008179   0.020338   0.001213
0.008730   0.019762   0.001076
0.009280   0.022183   0.000959
0.009831   0.021939   0.000854
0.010381   0.022824   0.000786
0.010932   0.021589   0.000719
0.011482   0.021243   0.000668
0.012033   0.020805   0.000626
0.012583   0.020988   0.000589
0.013134   0.020539   0.000556
0.013822   0.020717   0.000430
0.014648   0.019750   0.000403
0.015474   0.021025   0.000379
0.016299   0.019402   0.000360
0.017125   0.019544   0.000344
0.017951   0.019955   0.000331
0.018777   0.019749   0.000318
0.019602   0.019117   0.000312
0.020566   0.019324   0.000269
0.021667   0.018988   0.000266
0.022768   0.018821   0.000264
0.023869   0.018104   0.000259
0.024970   0.019169   0.000254
0.026071   0.017913   0.000244
0.027172   0.017906   0.000230
0.028410   0.017352   0.000197
0.029787   0.017277   0.000190
0.031163   0.016991   0.000184
0.032539   0.017023   0.000185
0.033915   0.016068   0.000185
0.035429   0.015873   0.000167
0.037081   0.015422   0.000165
0.038732   0.015193   0.000163
0.040384   0.014784   0.000160
0.042173   0.014148   0.000146
0.044100   0.013490   0.000146
0.046027   0.013025   0.000150
0.047953   0.012621   0.000146
0.050018   0.012085   0.000130
0.052220   0.011471   0.000127
0.054422   0.010972   0.000125
0.056761   0.010429   0.000114
0.059239   0.009912   0.000112
0.061716   0.009441   0.000110
0.064331   0.008886   0.000102
0.067083   0.008345   0.000100
0.069973   0.007725   0.000094
0.073001   0.007064   0.000092
0.076029   0.006753   0.000090
0.079194   0.006142   0.000088
0.082497   0.005692   0.000092
0.085938   0.005244   0.000084
0.089516   0.004759   0.000084
0.093232   0.004493   0.000079
0.097086   0.004076   0.000075
0.101077   0.003607   0.000070
0.105343   0.003302   0.000067
0.109747   0.003008   0.000065
0.114289   0.002758   0.000061
0.119106   0.002547   0.000058
0.124061   0.002411   0.000057
0.129153   0.002023   0.000054
0.134520   0.001913   0.000052
0.140025   0.001618   0.000055
0.145668   0.001455   0.000051
0.151586   0.001302   0.000048
0.157779   0.001125   0.000046
0.164247   0.001078   0.000044
0.170991   0.000930   0.000042
0.178010   0.000777   0.000041
0.185304   0.000643   0.000039
0.192873   0.000596   0.000038
0.200718   0.000503   0.000039
0.208838   0.000412   0.000036
0.217371   0.000438   0.000034
0.226316   0.000337   0.000033
0.235537   0.000285   0.000032
0.245034   0.000204   0.000031
0.254943   0.000229   0.000031
0.265265   0.000179   0.000030
0.275999   0.000142   0.000028
0.287285   0.000107   0.000027
0.298983   0.000119   0.000026
0.311094   0.000122   0.000026
0.323756   0.000144   0.000025
0.336968   0.000116   0.000024
0.350730   0.000107   0.000023
0.365043   0.000125   0.000023
0.379907   0.000164   0.000023
0.395321   0.000137   0.000023
0.411286   0.000108   0.000022
0.427801   0.000114   0.000023
0.445004   0.000112   0.000023
0.462895   0.000124   0.000022
0.481475   0.000132   0.000022
0.500880   0.000130   0.000022
0.521111   0.000148   0.000022
0.542168   0.000116   0.000022
0.564050   0.000071   0.000022
0.586759   0.000091   0.000021
0.610293   0.000076   0.000022
0.634790   0.000141   0.000021
0.660388   0.000083   0.000023
0.686950   0.000121   0.000033
0.712962   -0.000003   0.000096
