q	I	Err_I
0.003638   0.024891   0.005769
0.003913   0.029723   0.004964
0.004188   0.031610   0.004130
0.004464   0.022187   0.003597
0.004739   0.025652   0.003075
0.005014   0.024907   0.002783
0.005289   0.025522   0.002403
0.005565   0.025596   0.002211
0.005840   0.020159   0.001909
0.006115   0.022219   0.001698
0.006528   0.022598   0.001047
0.007078   0.023917   0.000859
0.007629   0.022763   0.000737
0.008179   0.024232   0.000631
0.008730   0.021297   0.000559
0.009280   0.021392   0.000503
0.009831   0.022561   0.000456
0.010381   0.022048   0.000418
0.010932   0.021676   0.000387
0.011482   0.021525   0.000360
0.012033   0.021565   0.000337
0.012583   0.021840   0.000323
0.013134   0.021762   0.000304
0.013822   0.021360   0.000238
0.014648   0.020972   0.000224
0.015474   0.021153   0.000211
0.016299   0.021213   0.000202
0.017125   0.020714   0.000193
0.017951   0.021033   0.000187
0.018777   0.020629   0.000180
0.019602   0.020601   0.000176
0.020566   0.020292   0.000152
0.021667   0.019849   0.000151
0.022768   0.019614   0.000148
0.023869   0.019418   0.000146
0.024970   0.018841   0.000143
0.026071   0.018852   0.000139
0.027172   0.018639   0.000130
0.028410   0.018292   0.000112
0.029787   0.017995   0.000107
0.031163   0.017741   0.000104
0.032539   0.017129   0.000104
0.033915   0.016828   0.000104
0.035429   0.016277   0.000094
0.037081   0.015894   0.000092
0.038732   0.015429   0.000091
0.040384   0.014893   0.000089
0.042173   0.014386   0.000081
0.044100   0.013923   0.000081
0.046027   0.013472   0.000083
0.047953   0.012989   0.000081
0.050018   0.012253   0.000072
0.052220   0.011698   0.000070
0.054422   0.011258   0.000068
0.056761   0.010525   0.000062
0.059239   0.010012   0.000061
0.061716   0.009351   0.000060
0.064331   0.008998   0.000055
0.067083   0.008322   0.000054
0.069973   0.007753   0.000050
0.073001   0.007192   0.000049
0.076029   0.006655   0.000048
0.079194   0.006177   0.000047
0.082497   0.005646   0.000048
0.085938   0.005236   0.000044
0.089516   0.004755   0.000044
0.093232   0.004451   0.000041
0.097086   0.003951   0.000039
0.101077   0.003706   0.000036
0.105343   0.003357   0.000034
0.109747   0.003049   0.000033
0.114289   0.002717   0.000032
0.119106   0.002502   0.000030
0.124061   0.002267   0.000029
0.129153   0.002052   0.000028
0.134520   0.001824   0.000027
0.140025   0.001642   0.000028
0.145668   0.001428   0.000026
0.151586   0.001349   0.000024
0.157779   0.001141   0.000023
0.164247   0.001000   0.000022
0.170991   0.000906   0.000021
0.178010   0.000750   0.000020
0.185304   0.000658   0.000020
0.192873   0.000553   0.000019
0.200718   0.000506   0.000020
0.208838   0.000406   0.000018
0.217371   0.000356   0.000017
0.226316   0.000300   0.000017
0.235537   0.000234   0.000016
0.245034   0.000182   0.000016
0.254943   0.000156   0.000016
0.265265   0.000135   0.000015
0.275999   0.000131   0.000014
0.287285   0.000102   0.000014
0.298983   0.000113   0.000013
0.311094   0.000082   0.000013
0.323756   0.000102   0.000013
0.336968   0.000094   0.000012
0.350730   0.000111   0.000012
0.365043   0.000100   0.000011
0.379907   0.000075   0.000012
0.395321   0.000119   0.000011
0.411286   0.000110   0.000011
0.427801   0.000106   0.000012
0.445004   0.000116   0.000011
0.462895   0.000100   0.000011
0.481475   0.000102   0.000011
0.500880   0.000099   0.000011
0.521111   0.000100   0.000011
0.542168   0.000098   0.000011
0.564050   0.000102   0.000011
0.586759   0.000080   0.000011
0.610293   0.000082   0.000011
0.634790   0.000056   0.000011
0.660388   0.000044   0.000011
0.686950   0.000049   0.000017
0.712962   0.000011   0.000048
